efret0,cl_id,pred
0.6650002436278157,A124C,A124C
0.4450000000000018,A124C,A107C
0.25963095664960495,A124C,A78C
0.15924904408606597,A124C,S42C
0.54429319221586,A124C,A107C
0.6411335274009565,A124C,A124C
0.8849273357510117,A124C,A124C
0.17582153522107158,A124C,S42C
0.2152121181394685,A124C,A78C
0.7268077052270713,A124C,A124C
0.39499954773119217,A124C,A107C
0.40498160795878363,A124C,A107C
0.4978354278030181,A124C,A107C
0.3150000000172379,A124C,A78C
0.27500002390834194,A124C,A78C
0.20060160301699353,A124C,S42C
0.3649999999388369,A124C,A107C
0.3128996736767053,A124C,A78C
0.21912495009947436,A124C,A78C
0.13333480821685462,A124C,S42C
0.15500000000592545,A124C,S42C
0.20526632212427096,A124C,A78C
0.3800000424559268,A124C,A107C
0.19312785415188732,A124C,S42C
0.8000000000000023,A124C,A124C
0.26499999999991125,A124C,A78C
0.8250000000001297,A124C,A124C
0.15489970693959604,A124C,S42C
0.8150000000237295,A124C,A124C
0.7049999999884465,A124C,A124C
0.26467660442170615,A124C,A78C
0.42897725396719577,A124C,A107C
0.6450002637302624,A124C,A124C
0.7402149159335232,A124C,A124C
0.15993495207225475,A124C,S42C
0.16925639900995426,A124C,S42C
0.22343237594979576,A124C,A78C
0.45000000000000046,A124C,A107C
0.11918081170779515,A124C,S42C
0.42199952484215775,A124C,A107C
0.5186667758400473,A124C,A107C
0.46675383666118614,A124C,A107C
0.2892993406546548,A124C,A78C
0.3791997528806561,A124C,A107C
0.7619671159879552,A124C,A124C
0.8405843043685443,A124C,A124C
0.7438843892900595,A124C,A124C
0.7599999999969292,A124C,A124C
0.22003428945791126,A124C,A78C
0.7502922657963301,A124C,A124C
0.5900000000029094,A124C,A124C
0.8628790969835711,A124C,A124C
0.750000000031376,A124C,A124C
0.46084544339279165,A124C,A107C
0.6285044565276112,A124C,A124C
0.18499519025404587,A124C,S42C
0.15555633898163518,A124C,S42C
0.41935504723781825,A124C,A107C
0.7500000000006292,A124C,A124C
0.3000000000180394,A124C,A78C
0.15499999993954575,A124C,S42C
0.8496852851321649,A124C,A124C
0.7411014410709873,A124C,A124C
0.30021448967358566,A124C,A78C
0.15500000002996794,A124C,S42C
0.39000000000149426,A124C,A107C
0.17050773488702087,A124C,S42C
0.3137705546743997,A124C,A78C
0.2847521372837039,A124C,A78C
0.23500227973152787,A124C,A78C
0.1741554117773739,A124C,S42C
0.319785589959956,A124C,A78C
0.41892824107753596,A124C,A107C
0.18499843557122309,A124C,S42C
0.17630238719753494,A124C,S42C
0.17505191649022167,A124C,S42C
0.2149999999386793,A124C,A78C
0.20500006927820935,A124C,A78C
0.45999999999798347,A124C,A107C
0.5197884612423702,A124C,A107C
0.21000000000276298,A124C,A78C
0.11841021945870081,A124C,S42C
0.18485516185569556,A124C,S42C
0.15501248281439226,A124C,S42C
0.7649971733690681,A124C,A124C
0.4150000000017115,A124C,A107C
0.4448579366863289,A124C,A107C
0.8399999999999985,A124C,A124C
