,pred,counts,frac
406,A78C,93,0.2980769230769231
407,S42C,84,0.2692307692307692
408,A107C,62,0.1987179487179487
409,A124C,83,0.266025641025641
410,A78C,96,0.3076923076923077
411,S42C,71,0.22756410256410256
412,A107C,71,0.22756410256410256
413,A124C,73,0.23397435897435898
414,A78C,87,0.27884615384615385
415,S42C,81,0.25961538461538464
416,A107C,76,0.24358974358974358
417,A124C,82,0.26282051282051283
418,A78C,84,0.2692307692307692
419,S42C,70,0.22435897435897437
420,A107C,59,0.1891025641025641
421,A124C,95,0.30448717948717946
422,A78C,87,0.27884615384615385
423,S42C,71,0.22756410256410256
424,A107C,65,0.20833333333333334
425,A124C,64,0.20512820512820512
426,A78C,97,0.3108974358974359
427,S42C,86,0.27564102564102566
428,A107C,50,0.16025641025641027
429,A124C,90,0.28846153846153844
430,A78C,100,0.32051282051282054
431,S42C,72,0.23076923076923078
432,A107C,58,0.1858974358974359
433,A124C,78,0.25
434,A78C,84,0.2692307692307692
435,S42C,92,0.2948717948717949
436,A107C,68,0.21794871794871795
437,A124C,104,0.3333333333333333
438,A78C,77,0.2467948717948718
439,S42C,63,0.20192307692307693
440,A107C,47,0.15064102564102563
441,A124C,79,0.2532051282051282
442,A78C,106,0.33974358974358976
443,S42C,80,0.2564102564102564
444,A107C,59,0.1891025641025641
445,A124C,82,0.26282051282051283
446,A78C,76,0.24358974358974358
447,S42C,95,0.30448717948717946
448,A107C,70,0.22435897435897437
449,A124C,90,0.28846153846153844
450,A78C,77,0.2467948717948718
451,S42C,75,0.2403846153846154
452,A107C,70,0.22435897435897437
453,A124C,76,0.24358974358974358
454,A78C,83,0.266025641025641
455,S42C,83,0.266025641025641
456,A107C,61,0.1955128205128205
457,A124C,84,0.2692307692307692
458,A78C,87,0.27884615384615385
459,S42C,80,0.2564102564102564
460,A107C,60,0.19230769230769232
461,A124C,91,0.2916666666666667
462,A78C,95,0.30448717948717946
463,S42C,66,0.21153846153846154
464,A107C,66,0.21153846153846154
465,A124C,88,0.28205128205128205
466,A78C,85,0.2724358974358974
467,S42C,73,0.23397435897435898
468,A107C,50,0.16025641025641027
469,A124C,88,0.28205128205128205
470,A78C,101,0.32371794871794873
471,S42C,73,0.23397435897435898
472,A107C,54,0.17307692307692307
473,A124C,94,0.30128205128205127
474,A78C,91,0.2916666666666667
475,S42C,73,0.23397435897435898
476,A107C,66,0.21153846153846154
477,A124C,72,0.23076923076923078
478,A78C,90,0.28846153846153844
479,S42C,84,0.2692307692307692
480,A107C,55,0.1762820512820513
481,A124C,86,0.27564102564102566
482,A78C,80,0.2564102564102564
483,S42C,91,0.2916666666666667
484,A107C,63,0.20192307692307693
485,A124C,70,0.22435897435897437
486,A78C,88,0.28205128205128205
487,S42C,91,0.2916666666666667
488,A107C,62,0.1987179487179487
489,A124C,89,0.28525641025641024
490,A78C,86,0.27564102564102566
491,S42C,75,0.2403846153846154
492,A107C,51,0.16346153846153846
493,A124C,91,0.2916666666666667
494,A78C,82,0.26282051282051283
495,S42C,88,0.28205128205128205
496,A107C,57,0.18269230769230768
497,A124C,93,0.2980769230769231
498,A78C,84,0.2692307692307692
499,S42C,78,0.25
500,A107C,61,0.1955128205128205
501,A124C,76,0.24358974358974358
502,A78C,87,0.27884615384615385
503,S42C,88,0.28205128205128205
504,A107C,55,0.1762820512820513
505,A124C,85,0.2724358974358974
506,A78C,81,0.25961538461538464
507,S42C,91,0.2916666666666667
508,A107C,57,0.18269230769230768
509,A124C,86,0.27564102564102566
510,A78C,93,0.2980769230769231
511,S42C,76,0.24358974358974358
512,A107C,60,0.19230769230769232
513,A124C,89,0.28525641025641024
514,A78C,85,0.2724358974358974
515,S42C,78,0.25
516,A107C,53,0.16987179487179488
517,A124C,91,0.2916666666666667
518,A78C,83,0.266025641025641
519,S42C,85,0.2724358974358974
520,A107C,63,0.20192307692307693
521,A124C,81,0.25961538461538464
522,A78C,84,0.2692307692307692
523,S42C,84,0.2692307692307692
524,A107C,54,0.17307692307692307
525,A124C,77,0.2467948717948718
526,A78C,95,0.30448717948717946
527,S42C,86,0.27564102564102566
528,A107C,42,0.1346153846153846
529,A124C,82,0.26282051282051283
530,A78C,97,0.3108974358974359
531,S42C,91,0.2916666666666667
532,A107C,51,0.16346153846153846
533,A124C,83,0.266025641025641
534,A78C,86,0.27564102564102566
535,S42C,92,0.2948717948717949
536,A107C,65,0.20833333333333334
537,A124C,85,0.2724358974358974
538,A78C,73,0.23397435897435898
539,S42C,89,0.28525641025641024
540,A107C,71,0.22756410256410256
541,A124C,76,0.24358974358974358
542,A78C,81,0.25961538461538464
543,S42C,84,0.2692307692307692
544,A107C,55,0.1762820512820513
545,A124C,85,0.2724358974358974
546,A78C,91,0.2916666666666667
